job_id,ocrd_text,clean,plain_accuracy,clean_accuracy
590492.jpg,"We have opportunities for:

-.Net Architect

Responsibilities:

+ 8+ years of Hands on experience in ASP .net and C coding
+ Added advantage if from BFS / Micro finance domain

* Knowledge of Jquery and PL/SQL is preferred

Apply via the URL in the Job Description or
the following QR code:

  

Accelerating
","We have opportunities for

Net Architect

Responsibilities

+ 8+ years of Hands on experience in ASP net and C coding
+ Added advantage if from BFS / Micro finance domain

 Knowledge of Jquery and PL/SQL is preferred

Apply via the URL in the Job Description or
the following QR code

  

Accelerating
",0.75,0.8627450980392157
600087.png," 

iOS DEVELOPER

S.A. Knowledge Services (SAKS) is a fully owned subsidiary of St. Anthony's Group of Industries. SAKS is a BPO service provider equipped
to deliver a range of Accounting Services, Research & Analytics, Software Development, Data Science and Contact Center Services.
We cater to a diverse portfolio of clients from US, UK, Australia and Sri Lanka.

WE ARE LOOKING FOR AN ENERGETIC, SELF-MOTIVATED INDIVIDUAL TO SERVE
ONE OF OUR LEADING CLIENT

IDEAL TECHNICHAL PREREQUISITES

© Design, Develop and release apps on i0S platform

© Knowledge in Swift/Objective-C, 105 SDKs, Layouts

© Strong knowledge in integrate 3rd party libraries

© Experience in working with web services

© Familiarity with cloud messaging and APIs and push notifications
© Testing, bug fixing, improving app performance

OTHER ESSENTIALS

© 3+ years of software engineering experience with mobile application development

© Possess a degree or equivalent qualification in Computer Science, Engineering or equivalent
© Ability to self-learn and create elegant software solutions

© Proven track record of being a strong team player

© Understanding of Apple’s design principles and interface guidelines

© Proficient understanding of code versioning tools, such as Git

© Familiarity with continuous integration will be a plus

If you feel you are the right candidate for the above, with a passion to work with diverse groups of people
in a dynamic and unique working environment, we would like to hear from you.
Send in your resume to

naveen@saksglobal.com
within 14 days of this advertisement with the position applied for stated in the subject line

SAKS

752, Orion City, Dr. Danister De Silva Mawatha, Colombo 09 | www.saksglobal.com
"," 

iOS DEVELOPER

SA Knowledge Services SAKS is a fully owned subsidiary of St Anthonys Group of Industries SAKS is a BPO service provider equipped
to deliver a range of Accounting Services Research  Analytics Software Development Data Science and Contact Center Services
We cater to a diverse portfolio of clients from US UK Australia and Sri Lanka

WE ARE LOOKING FOR AN ENERGETIC SELFMOTIVATED INDIVIDUAL TO SERVE
ONE OF OUR LEADING CLIENT

IDEAL TECHNICHAL PREREQUISITES

 Design Develop and release apps on i0S platform

 Knowledge in Swift/ObjectiveC 105 SDKs Layouts

 Strong knowledge in integrate 3rd party libraries

 Experience in working with web services

 Familiarity with cloud messaging and APIs and push notifications
 Testing bug fixing improving app performance

OTHER ESSENTIALS

 3+ years of software engineering experience with mobile application development

 Possess a degree or equivalent qualification in Computer Science Engineering or equivalent
 Ability to selflearn and create elegant software solutions

 Proven track record of being a strong team player

 Understanding of Apples design principles and interface guidelines

 Proficient understanding of code versioning tools such as Git

 Familiarity with continuous integration will be a plus

If you feel you are the right candidate for the above with a passion to work with diverse groups of people
in a dynamic and unique working environment we would like to hear from you
Send in your resume to

naveensaksglobalcom
within 14 days of this advertisement with the position applied for stated in the subject line

SAKS

752 Orion City Dr Danister De Silva Mawatha Colombo 09  wwwsaksglobalcom
",0.8345864661654135,0.9362549800796812
601828.jpg,"(M

MOBIZZ
WE UNDERSTAND
= People
]@ss Job Opportunities
ce Company

  

Senior Software Engineer - Java —

We are looking for a dynamic individual who is capable and highly productive in the software development process with
sound technical and communication skills. The ideal candidate should have an interest in learning new technologies while
keeping up with industry trends and best practices is imperative. The ability to communicate and manage Clients

and staff with proper situation handling is also a valued trait of the ideal candidate.

The role reports to the technical and project leadership of the company

Requirements

- Bachelor's degree in Computer Engineering or Science, Information Technology.

— Minimum 4 years of experience in developing Backend Services with J2EE Spring Framework.
- Highly proficient in Java technologies (Hibernate, JDBC, JMS, EJB)

— Experience in deploying applications on (Apache Tomcat, JBoss)

- Experience with the latest web technologies (HTML5, CSS3, frontend frameworks, JS frameworks etc.)
— Experience in database design and development (Oracle 11g, MySQL)

- Strong knowledge of OOP principles and design patterns.

— Familiar with micro service architecture.

— Work experience in GIT, JIRA project management and bug tracking tool.

- Ability to work under pressure for tight deadlines.

- Full-stack development experience will be an added advantage.

- Good communication skills in English.

- Desire to learn and deliver!

An attractive remuneration package awaits the selected candidate. Please send us your resume stating the position
applied on the subject line and email to: SearchIT@mobizz.lk
","M

MOBIZZ
WE UNDERSTAND
 People
ss Job Opportunities
ce Company

  

Senior Software Engineer  Java 

We are looking for a dynamic individual who is capable and highly productive in the software development process with
sound technical and communication skills The ideal candidate should have an interest in learning new technologies while
keeping up with industry trends and best practices is imperative The ability to communicate and manage Clients

and staff with proper situation handling is also a valued trait of the ideal candidate

The role reports to the technical and project leadership of the company

Requirements

 Bachelors degree in Computer Engineering or Science Information Technology

 Minimum 4 years of experience in developing Backend Services with J2EE Spring Framework
 Highly proficient in Java technologies Hibernate JDBC JMS EJB

 Experience in deploying applications on Apache Tomcat JBoss

 Experience with the latest web technologies HTML5 CSS3 frontend frameworks JS frameworks etc
 Experience in database design and development Oracle 11g MySQL

 Strong knowledge of OOP principles and design patterns

 Familiar with micro service architecture

 Work experience in GIT JIRA project management and bug tracking tool

 Ability to work under pressure for tight deadlines

 Fullstack development experience will be an added advantage

 Good communication skills in English

 Desire to learn and deliver

An attractive remuneration package awaits the selected candidate Please send us your resume stating the position
applied on the subject line and email to SearchITmobizzlk
",0.8178137651821862,0.922077922077922
601838.jpg,"ps

WE UNDERSTAND
= People

]@ss Job Opportunities
Ea So
eee Company

  

Quality Assurance Engineer

Our client who develops, implements and supports its world leading integrated suite of Enterprise Performance
Management (EPM) and Business intelligence (Bl) solutions to enable enterprises to plan, execute and drive their business
from strategy to reality. Established in Australia in 1996, has grown significantly to become an international company
with clients and offices located in Australia, New Zealand, North America, Singapore, Sri Lanka and the United Kingdom.

We are looking for Quality Assurance (QA) Engineer to develop and execute exploratory and automated tests to ensure
product quality. Your responsibilities include designing and implementing tests, debugging and defining corrective actions.
You will also review system requirements and track quality assurance metrics (e.g. defect densities and open defect counts.)

Requirements

- Proven work experience in software development and software Quality Assurance.
- Strong knowledge of software QA methodologies, tools and processes.

- Experience in writing clear, concise and comprehensive test plans and test cases.

- Hands-on experience with both white box and black box testing.

- Hands on experience with automated testing tools.

- Sound knowledge of SQL and scripting.

- Experience working in an Agile/Scrum development process.

- BS/MS Degree in Computer science, engineering or a related field.

Responsibilities

- Review requirements, specifications and technical design document to provide timely and meaning feedback.
- Create detailed, comprehensive and well-structured test plans and test cases.

- Estimate, prioritize, plan and coordinate testing activities.

- Design, develop and execute automation scripts using open source tools.

- Identify, record, document thoroughly and track bugs.

- Develop and apply testing process for new and existing products to meet client needs.

- Investigate the causes of non-conforming software and train users to implement solutions .

An attractive remuneration package awaits the selected candidate. Please send us your resume stating the position
applied on the subject line and email to: SearchIT@mobizz.|k
","ps

WE UNDERSTAND
 People

ss Job Opportunities
Ea So
eee Company

  

Quality Assurance Engineer

Our client who develops implements and supports its world leading integrated suite of Enterprise Performance
Management EPM and Business intelligence Bl solutions to enable enterprises to plan execute and drive their business
from strategy to reality Established in Australia in 1996 has grown significantly to become an international company
with clients and offices located in Australia New Zealand North America Singapore Sri Lanka and the United Kingdom

We are looking for Quality Assurance QA Engineer to develop and execute exploratory and automated tests to ensure
product quality Your responsibilities include designing and implementing tests debugging and defining corrective actions
You will also review system requirements and track quality assurance metrics eg defect densities and open defect counts

Requirements

 Proven work experience in software development and software Quality Assurance
 Strong knowledge of software QA methodologies tools and processes

 Experience in writing clear concise and comprehensive test plans and test cases

 Handson experience with both white box and black box testing

 Hands on experience with automated testing tools

 Sound knowledge of SQL and scripting

 Experience working in an Agile/Scrum development process

 BS/MS Degree in Computer science engineering or a related field

Responsibilities

 Review requirements specifications and technical design document to provide timely and meaning feedback
 Create detailed comprehensive and wellstructured test plans and test cases

 Estimate prioritize plan and coordinate testing activities

 Design develop and execute automation scripts using open source tools

 Identify record document thoroughly and track bugs

 Develop and apply testing process for new and existing products to meet client needs

 Investigate the causes of nonconforming software and train users to implement solutions 

An attractive remuneration package awaits the selected candidate Please send us your resume stating the position
applied on the subject line and email to SearchITmobizzk
",0.8589341692789969,0.9735099337748344
602009.jpg,"Senior Software Engineer - Java

 

Our client whe provides end-to-end digital transformation and information technology (IT) services to Global 2000 companies.
Build solutions for Fortune 500 companies in the world - Construct best in class creative solution for global enterprises.
Conceptualize best class solutions, design comprehensive application and adapt to new project environments.

We are currently on the lookout for highly motivated, energetic individual to become member of a dynamic organization
Who we are looking for

4 years of proven industry experience working with Java Technologies.
© Core Java/J2EE with expertise in EJB 3, JSF 2.2 and Spring

© Fxperience in Databases (Oracle SO! and Pt /SQL)

© Fxperience in JavaScript, AngularsS, JQuery. HTML 5/ CSS 3

© Middle tier development skills using Web API2, REST, SOAP

© SOLID and DRY design principles

© Good analytical and problem solving skills

2 BSc / MSc in Information Technology or a related field preferred \Y

 

Send us your resume stating the position applied on the subject line to: SearchIT@mobizz.lk VOBILI
Setting the Standards for Recruitment

 

hiT@mobi

 

tk. 0114385430 www.mobizzJk
","Senior Software Engineer  Java

 

Our client whe provides endtoend digital transformation and information technology IT services to Global 2000 companies
Build solutions for Fortune 500 companies in the world  Construct best in class creative solution for global enterprises
Conceptualize best class solutions design comprehensive application and adapt to new project environments

We are currently on the lookout for highly motivated energetic individual to become member of a dynamic organization
Who we are looking for

4 years of proven industry experience working with Java Technologies
 Core Java/J2EE with expertise in EJB 3 JSF 22 and Spring

 Fxperience in Databases Oracle SO and Pt /SQL

 Fxperience in JavaScript AngularsS JQuery HTML 5/ CSS 3

 Middle tier development skills using Web API2 REST SOAP

 SOLID and DRY design principles

 Good analytical and problem solving skills

2 BSc / MSc in Information Technology or a related field preferred Y

 

Send us your resume stating the position applied on the subject line to SearchITmobizzlk VOBILI
Setting the Standards for Recruitment

 

hiTmobi

 

tk 0114385430 wwwmobizzJk
",0.7853107344632768,0.8757396449704142
602186.png," 

 

 

 

 

 

-NET SOFTWARE ENGINEERS

Fidenz Technologies is a software development company focusing on
mobile, web and blockchain related developments. We are searching
for young and energetic individuals to expand our team. We deliver
cutting edge software solutions primarily to international markets,
including United States, Norway, Sweden, Singapore and Australia.

for more info visit, www.fidenz.com/careers

 

 
"," 

 

 

 

 

 

NET SOFTWARE ENGINEERS

Fidenz Technologies is a software development company focusing on
mobile web and blockchain related developments We are searching
for young and energetic individuals to expand our team We deliver
cutting edge software solutions primarily to international markets
including United States Norway Sweden Singapore and Australia

for more info visit wwwfidenzcom/careers

 

 
",0.8301886792452831,0.9433962264150944
602397.jpg,"OQ

QUESS

DELIVERING GROWTH

 

eer — Java (P102)

We are on the seek for a potential individual to join an esteemed entity in the IT industry

Job Description Job Specification

Responsible for the core software engineering tasks in a project e Atleast 4 years of experience on JavaScript (React, JQuery, YUI, JSON, AJAX),
team. HTMLS and CSS. Experience in Accessibility Related Development is a plus.
ls required to work with dynamic teams that are driven by e Having basic Linux knowledge
project delivery goals. e  Self-starter who can work independently while managing your resources to
Should process the drive to learn and continuously improve on complete tasks in a timely manner.
work performances. e Team-worker with strong and effective inter-personal and communication
Helps and guides software engineers in writing quality code and skills and the ability to interact with prompt and professionalism to the
brings in industry best practices for continuous improvement of teams across different time zones.
the team. e Ability to mentor and guide team members.

e Excellent troubleshooting, problem solving skills, both technical and domain

specific.

Keen on this valuable opportunity?
Please forward your resume to the below mentioned email address
with a mentioning of the expected salary.
State the applied position in the subject line of the email

e Basic experience or knowledge on building, packaging & deployment tools,
web and application servers and database technologies.

e Understanding of Agile as a philosophy, Agile frameworks (e.g. Scrum,
Kanban, XP), and as a practice (e.g. Cl, TDD, ATDD etc).

Apply to: aishan.b@quesslanka.com

www.quesscorp.com
Follow us on Facebook: qclanka (Quess Corp Lanka)

 
","OQ

QUESS

DELIVERING GROWTH

 

eer  Java P102

We are on the seek for a potential individual to join an esteemed entity in the IT industry

Job Description Job Specification

Responsible for the core software engineering tasks in a project e Atleast 4 years of experience on JavaScript React JQuery YUI JSON AJAX
team HTMLS and CSS Experience in Accessibility Related Development is a plus
ls required to work with dynamic teams that are driven by e Having basic Linux knowledge
project delivery goals e  Selfstarter who can work independently while managing your resources to
Should process the drive to learn and continuously improve on complete tasks in a timely manner
work performances e Teamworker with strong and effective interpersonal and communication
Helps and guides software engineers in writing quality code and skills and the ability to interact with prompt and professionalism to the
brings in industry best practices for continuous improvement of teams across different time zones
the team e Ability to mentor and guide team members

e Excellent troubleshooting problem solving skills both technical and domain

specific

Keen on this valuable opportunity
Please forward your resume to the below mentioned email address
with a mentioning of the expected salary
State the applied position in the subject line of the email

e Basic experience or knowledge on building packaging  deployment tools
web and application servers and database technologies

e Understanding of Agile as a philosophy Agile frameworks eg Scrum
Kanban XP and as a practice eg Cl TDD ATDD etc

Apply to aishanbquesslankacom

wwwquesscorpcom
Follow us on Facebook qclanka Quess Corp Lanka

 
",0.8636363636363636,0.9236641221374046
602768.png,"Senior
Software Engineer
(.Net)

& 011-5927726
i info@jobfactory.|k

Jobfactory is a Talent Search Engine facilitating candidates to maintain
their profiles in a database. Creating your profile in our system will make
you visible to thousands of vacancies across the world.

Our client is a leading software solutions providing company located
in Colombo 03.

Eligibility

*  Bachelor’s degree in Computing or Information Technology
* Minimum 5 years of experience in software engineering

Knowledge and Skills

* Proficiency with Microsoft .Net platform technologies

* Proficiency with front-end framework such as angular is added
advantage

* Basic knowledge in Agile\Scrum

The ideal candidate can look forward to a rewarding career with a clear

path towards personal and professional success coupled with advanced
training opportunities and an attractive remuneration package.

Jobfactory

The Talent Search Engine
","Senior
Software Engineer
Net

 0115927726
i infojobfactoryk

Jobfactory is a Talent Search Engine facilitating candidates to maintain
their profiles in a database Creating your profile in our system will make
you visible to thousands of vacancies across the world

Our client is a leading software solutions providing company located
in Colombo 03

Eligibility

  Bachelors degree in Computing or Information Technology
 Minimum 5 years of experience in software engineering

Knowledge and Skills

 Proficiency with Microsoft Net platform technologies

 Proficiency with frontend framework such as angular is added
advantage

 Basic knowledge in AgileScrum

The ideal candidate can look forward to a rewarding career with a clear

path towards personal and professional success coupled with advanced
training opportunities and an attractive remuneration package

Jobfactory

The Talent Search Engine
",0.9083969465648855,0.96
602769.png,"CAN YOU PUT IT CLEARLY,
SIMPLY AND CONCISELY?

eBEYONDS, a professional digital marketing solutions company serving a top international clientele
wants skilled & committed individuals to join us as:

TECHNICAL
WRITERS

Key Job Responsibilities

© Plan, design, research, write and edit a range of new and existing documents, including user guides,
implementation guides, online help, getting-started guides, quick reference guides and the likes.

© Personally test what you document to ensure its accuracy and completeness.

Research and acquire product knowledge through product requirement documents, talking to key
stakeholders, and the hands-on use of product modules and prototypes.

Required Experience & Skills

e 1+years experience in a similar job role

© Degree or Diploma in IT, Software Engineering or Computing

e Strong English language skills

e Experience in creating help-guides & manuals for software applications

© Ability to learn new software applications with limited guidance

¢ Ability to meet tight deadlines and handle changing priorities

° Effective time management & organizational skills

Self-starter that will actively seek improvements to existing processes

If you're confident that you've got what we're looking for, forward your CV to jobs@ebeyonds.com along with a
representative sample of your past technical write-ups.

og . an
Ne 9 370, Level 4, High Level Road, Pannipitiya.
{feBEYONDS @ wwwebeyonds.com

 

 

 

 
","CAN YOU PUT IT CLEARLY
SIMPLY AND CONCISELY

eBEYONDS a professional digital marketing solutions company serving a top international clientele
wants skilled  committed individuals to join us as

TECHNICAL
WRITERS

Key Job Responsibilities

 Plan design research write and edit a range of new and existing documents including user guides
implementation guides online help gettingstarted guides quick reference guides and the likes

 Personally test what you document to ensure its accuracy and completeness

Research and acquire product knowledge through product requirement documents talking to key
stakeholders and the handson use of product modules and prototypes

Required Experience  Skills

e 1+years experience in a similar job role

 Degree or Diploma in IT Software Engineering or Computing

e Strong English language skills

e Experience in creating helpguides  manuals for software applications

 Ability to learn new software applications with limited guidance

 Ability to meet tight deadlines and handle changing priorities

 Effective time management  organizational skills

Selfstarter that will actively seek improvements to existing processes

If youre confident that youve got what were looking for forward your CV to jobsebeyondscom along with a
representative sample of your past technical writeups

og  an
Ne 9 370 Level 4 High Level Road Pannipitiya
feBEYONDS  wwwebeyondscom

 

 

 

 
",0.8285714285714286,0.9292929292929293
603018.png,"GEVEO

AUSTRALASIA

We’re Hiring

Established in 2008, Geveo Australasia
specializes in design, development and delivery of
enterprise software solutions to clients in the
Australia and UK regions. With our commitment to.
a Scrum / Agile process, we ensure high quality
and timely delivery of software to delight our
customers.

We are looking for young, energetic and technically
enthusiastic engineers to join our team

A
Hl
wil

«

Do you fit the description?

 

m Serer l
eR he AT
If you are a self-motivated engineer, passionate about the

Microsoft technology stack and looking for a challenging
fun-filled career, this job opportunity may be for you

KEY RESPONSIBILITIES

+ Responsible in design, development, test and delivery of
high quality software

+ Communicate directly with our foreign clients to understand
the technical and functional requirements

+ Work in an agile team environment with commitment to
work towards achieving project goals

REQUIREMENTS

+ Degree in Computer Science, IT or equivalent from a
reputed University

+ 2-4 years industry experience

+ Experience in .NET/.NET Core, Azure services, SQL,
JavaScript, Angular / React / Vue

* Strong analytical skills, knowledge of OOP principals,
design patterns and best practices

+ Excellent English language proficiency and strong
collaboration skills

* Passion and enthusiasm to constantly learn and adapt new
technologies

Experienced engineers in the industry with a knack for
engaging in challenging and technically advanced projects
are invited to join with us and be a part of our vibrant
culture,

Visit for more information and send your CV to

® Geveo Australasia (Pui) Lid
123A, Poorwarama Road, Colombo 5

& 011-2824899 @ www.geveo.com
","GEVEO

AUSTRALASIA

Were Hiring

Established in 2008 Geveo Australasia
specializes in design development and delivery of
enterprise software solutions to clients in the
Australia and UK regions With our commitment to
a Scrum / Agile process we ensure high quality
and timely delivery of software to delight our
customers

We are looking for young energetic and technically
enthusiastic engineers to join our team

A
Hl
wil



Do you fit the description

 

m Serer l
eR he AT
If you are a selfmotivated engineer passionate about the

Microsoft technology stack and looking for a challenging
funfilled career this job opportunity may be for you

KEY RESPONSIBILITIES

+ Responsible in design development test and delivery of
high quality software

+ Communicate directly with our foreign clients to understand
the technical and functional requirements

+ Work in an agile team environment with commitment to
work towards achieving project goals

REQUIREMENTS

+ Degree in Computer Science IT or equivalent from a
reputed University

+ 24 years industry experience

+ Experience in NET/NET Core Azure services SQL
JavaScript Angular / React / Vue

 Strong analytical skills knowledge of OOP principals
design patterns and best practices

+ Excellent English language proficiency and strong
collaboration skills

 Passion and enthusiasm to constantly learn and adapt new
technologies

Experienced engineers in the industry with a knack for
engaging in challenging and technically advanced projects
are invited to join with us and be a part of our vibrant
culture

Visit for more information and send your CV to

 Geveo Australasia Pui Lid
123A Poorwarama Road Colombo 5

 0112824899  wwwgeveocom
",0.8264150943396227,0.9073359073359073
